구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,2780,150.619195,570500,565550,4950,63167,0.867659947,11.07221735,0.487291849,1388.055355
강동구,773,166.4907652,453233,449019,4214,54622,0.929764602,12.0516379,0.170552453,465.4228923
강북구,748,125.203252,330192,326686,3506,54813,1.061806464,16.60034162,0.226534865,329.342026
강서구,884,134.7938144,603772,597248,6524,72548,1.080540336,12.01579404,0.146412884,551.5031545
관악구,1496,149.2907801,525515,507203,18312,68082,3.484581791,12.95529148,0.28467313,162.9481045
광진구,707,53.22862129,372164,357211,14953,42214,4.017852345,11.34284885,0.189970013,425.2902638
구로구,1561,64.9737303,447874,416487,31387,56833,7.007997785,12.68950642,0.348535526,329.5929183
금천구,1015,100,255082,236353,18729,32970,7.342344815,12.92525541,0.39791126,35.98929339
노원구,1265,188.9298893,569384,565565,3819,71941,0.670724854,12.63488261,0.222169924,125.4836177
도봉구,485,246.6386555,348646,346629,2017,51312,0.578523775,14.71750716,0.139109584,616.5013413
동대문구,1294,74.76635514,369496,354079,15417,54173,4.172440297,14.66132245,0.350206768,165.2025862
동작구,1091,139.3382353,412520,400456,12064,56013,2.924464268,13.57825075,0.264472026,94.12289226
마포구,574,212.1019108,389649,378566,11083,48765,2.844354791,12.51510975,0.147312068,581.180999
서대문구,962,48.57819905,327163,314982,12181,48161,3.723220535,14.72079667,0.294043031,111.3765678
서초구,1930,63.371266,450310,445994,4316,51733,0.958450845,11.48830805,0.428593635,695.4037945
성동구,1062,81.78082192,311244,303380,7864,39997,2.526635052,12.85068949,0.341211397,9.464016326
성북구,1464,63.62735382,461260,449773,11487,64692,2.490352513,14.02506179,0.317391493,215.068447
송파구,618,104.3478261,667483,660584,6899,72506,1.033584376,10.86259875,0.092586628,900.9113117
양천구,2034,34.67173087,479978,475949,4029,52975,0.839413473,11.03696419,0.423769423,760.5635124
영등포구,904,157.979798,402985,368072,34913,52413,8.663597901,13.0061913,0.224325967,268.6400121
용산구,1624,53.21637427,244203,229456,14747,36231,6.038828352,14.83642707,0.665020495,659.2316902
은평구,1873,85.23725835,494388,489943,4445,72334,0.899091402,14.63101855,0.378852238,580.698457
종로구,1002,248.9224138,162820,153589,9231,25425,5.669450927,15.61540351,0.615403513,143.7753963
중구,671,147.6997579,133240,124312,8928,20764,6.700690483,15.58390874,0.503602522,148.4995281
중랑구,660,79.96070727,414503,409882,4621,56774,1.114829084,13.69688519,0.159226833,527.7189648
