,summonerName,position,tier,rank,leaguePoints,wins,losses,total,rate,summonerId
0,산공,UTILITY,PLATINUM,IV,70,15,17,32,0.8823529411764706,e4FssD2VtMnbcFjYM9rZqwmP7mcrDxfhBh0jPxzjPn9fTbE
1,무빙하나로살아옴,TOP,PLATINUM,III,15,18,10,28,1.8,J-aVyM0_MzbS2RygCWuxmlB3gvFNAUKwKBirclVAoY1CT5E
2,무빙하나로살아옴,MIDDLE,PLATINUM,III,6,16,13,29,1.2307692307692308,J-aVyM0_MzbS2RygCWuxmlB3gvFNAUKwKBirclVAoY1CT5E
3,무빙하나로살아옴,BOTTOM,PLATINUM,III,37,11,7,18,1.5714285714285714,J-aVyM0_MzbS2RygCWuxmlB3gvFNAUKwKBirclVAoY1CT5E
4,무빙하나로살아옴,UTILITY,PLATINUM,IV,100,8,5,13,1.6,J-aVyM0_MzbS2RygCWuxmlB3gvFNAUKwKBirclVAoY1CT5E
5,감승가,BOTTOM,GOLD,III,75,25,26,51,0.9615384615384616,C3-3SYIYtXxuOw9RuQ3WgjjPUU7Nhd8_YUwnr3CSgvgbYQ
6,룰루는정직해,BOTTOM,PLATINUM,I,0,31,22,53,1.4090909090909092,V3YeRXPI2QqzGBKezV8kZHzCPvK6DwaCf-w46eKuwtlmD6E
7,원딜가는주형이,TOP,PLATINUM,IV,100,13,8,21,1.625,dNokKjZjcmb5n1Y469CBVoZ_n8AmwfAe5c5JS1Ia_42zoXE
8,원딜가는주형이,JUNGLE,PLATINUM,IV,79,13,8,21,1.625,dNokKjZjcmb5n1Y469CBVoZ_n8AmwfAe5c5JS1Ia_42zoXE
9,원딜가는주형이,BOTTOM,PLATINUM,IV,100,29,33,62,0.8787878787878788,dNokKjZjcmb5n1Y469CBVoZ_n8AmwfAe5c5JS1Ia_42zoXE
